collection_timestamp,event_id,event_name,event_date,team1,score1,team2,score2,top_scorer,top_rebounder,top_assist,team1_top_scorer,team1_top_rebounder,team1_top_assist,team2_top_scorer,team2_top_rebounder,team2_top_assist
2025-03-18 07:29:45,401705558,Memphis Grizzlies at Sacramento Kings,2025-03-18T02:00Z,Sacramento Kings,132,Memphis Grizzlies,122,,,,,,,,,
2025-03-18 07:29:45,401705561,Washington Wizards at Portland Trail Blazers,2025-03-18T02:00Z,Portland Trail Blazers,112,Washington Wizards,97,,,,,,,,,
2025-03-18 07:29:45,401754705,San Antonio Spurs at Los Angeles Lakers,2025-03-18T02:30Z,Los Angeles Lakers,125,San Antonio Spurs,109,,,,,,,,,
2025-03-18 07:30:17,401705550,Miami Heat at New York Knicks,2025-03-17T23:30Z,New York Knicks,116,Miami Heat,95,,,,,,,,,
2025-03-18 07:30:17,401705551,Philadelphia 76ers at Houston Rockets,2025-03-18T00:00Z,Houston Rockets,144,Philadelphia 76ers,137,,,,,,,,,
2025-03-18 07:30:17,401705552,Indiana Pacers at Minnesota Timberwolves,2025-03-18T00:00Z,Minnesota Timberwolves,130,Indiana Pacers,132,,,,,,,,,
2025-03-18 07:30:17,401705553,Detroit Pistons at New Orleans Pelicans,2025-03-18T00:00Z,New Orleans Pelicans,81,Detroit Pistons,127,,,,,,,,,
2025-03-18 07:30:17,401705555,Chicago Bulls at Utah Jazz,2025-03-18T01:00Z,Utah Jazz,97,Chicago Bulls,111,,,,,,,,,
2025-03-18 07:30:17,401705556,Denver Nuggets at Golden State Warriors,2025-03-18T02:00Z,Golden State Warriors,105,Denver Nuggets,114,,,,,,,,,
2025-03-18 07:30:17,401705557,Toronto Raptors at Phoenix Suns,2025-03-18T02:00Z,Phoenix Suns,129,Toronto Raptors,89,,,,,,,,,
2025-03-18 07:30:17,401705558,Memphis Grizzlies at Sacramento Kings,2025-03-18T02:00Z,Sacramento Kings,132,Memphis Grizzlies,122,,,,,,,,,
2025-03-18 07:30:17,401705561,Washington Wizards at Portland Trail Blazers,2025-03-18T02:00Z,Portland Trail Blazers,112,Washington Wizards,97,,,,,,,,,
2025-03-18 07:30:17,401754705,San Antonio Spurs at Los Angeles Lakers,2025-03-18T02:30Z,Los Angeles Lakers,125,San Antonio Spurs,109,,,,,,,,,
2025-03-18 07:36:11,401705550,Miami Heat at New York Knicks,2025-03-17T23:30Z,New York Knicks,116,Miami Heat,95,,,,Mikal Bridges: 28,Josh Hart: 13,Josh Hart: 11,Duncan Robinson: 22,Jaime Jaquez Jr.: 12,Jaime Jaquez Jr.: 7
2025-03-18 07:36:11,401705551,Philadelphia 76ers at Houston Rockets,2025-03-18T00:00Z,Houston Rockets,144,Philadelphia 76ers,137,,,,Jabari Smith Jr.: 30,Alperen Sengun: 11,Jalen Green: 13,Quentin Grimes: 46,Quentin Grimes: 13,Jared Butler: 5
2025-03-18 07:36:11,401705552,Indiana Pacers at Minnesota Timberwolves,2025-03-18T00:00Z,Minnesota Timberwolves,130,Indiana Pacers,132,,,,Anthony Edwards: 38,Nickeil Alexander-Walker: 9,Anthony Edwards: 5,Obi Toppin: 34,Obi Toppin: 10,T.J. McConnell: 13
2025-03-18 07:36:11,401705553,Detroit Pistons at New Orleans Pelicans,2025-03-18T00:00Z,New Orleans Pelicans,81,Detroit Pistons,127,,,,Zion Williamson: 30,Yves Missi: 10,CJ McCollum: 5,Cade Cunningham: 24,Simone Fontecchio: 7,Cade Cunningham: 8
2025-03-18 07:36:11,401705555,Chicago Bulls at Utah Jazz,2025-03-18T01:00Z,Utah Jazz,97,Chicago Bulls,111,,,,Keyonte George: 16,Walker Kessler: 12,Isaiah Collier: 8,Coby White: 26,Nikola Vucevic: 10,Tre Jones: 12
2025-03-18 07:36:11,401705556,Denver Nuggets at Golden State Warriors,2025-03-18T02:00Z,Golden State Warriors,105,Denver Nuggets,114,,,,Jimmy Butler III: 23,Jimmy Butler III: 8,Stephen Curry: 7,Aaron Gordon: 38,Russell Westbrook: 12,Russell Westbrook: 16
2025-03-18 07:36:11,401705557,Toronto Raptors at Phoenix Suns,2025-03-18T02:00Z,Phoenix Suns,129,Toronto Raptors,89,,,,Devin Booker: 27,Royce O'Neale: 10,Devin Booker: 6,Scottie Barnes: 16,Orlando Robinson: 8,Immanuel Quickley: 7
2025-03-18 07:36:11,401705558,Memphis Grizzlies at Sacramento Kings,2025-03-18T02:00Z,Sacramento Kings,132,Memphis Grizzlies,122,,,,Malik Monk: 28,Keegan Murray: 9,DeMar DeRozan: 8,Desmond Bane: 44,Brandon Clarke: 8,Luke Kennard: 8
2025-03-18 07:36:11,401705561,Washington Wizards at Portland Trail Blazers,2025-03-18T02:00Z,Portland Trail Blazers,112,Washington Wizards,97,,,,Anfernee Simons: 30,Donovan Clingan: 13,Dalano Banton: 5,Alex Sarr: 20,Tristan Vukcevic: 8,Bub Carrington: 8
2025-03-18 07:36:11,401754705,San Antonio Spurs at Los Angeles Lakers,2025-03-18T02:30Z,Los Angeles Lakers,125,San Antonio Spurs,109,,,,Austin Reaves: 30,Jaxson Hayes: 11,Luka Doncic: 14,Stephon Castle: 23,Stephon Castle: 8,Chris Paul: 8
2025-03-18 07:58:21,401705550,Miami Heat at New York Knicks,2025-03-17T23:30Z,New York Knicks,116,Miami Heat,95,,,,Mikal Bridges: 28,Josh Hart: 13,Josh Hart: 11,Duncan Robinson: 22,Jaime Jaquez Jr.: 12,Jaime Jaquez Jr.: 7
2025-03-18 07:58:21,401705551,Philadelphia 76ers at Houston Rockets,2025-03-18T00:00Z,Houston Rockets,144,Philadelphia 76ers,137,,,,Jabari Smith Jr.: 30,Alperen Sengun: 11,Jalen Green: 13,Quentin Grimes: 46,Quentin Grimes: 13,Jared Butler: 5
2025-03-18 07:58:21,401705552,Indiana Pacers at Minnesota Timberwolves,2025-03-18T00:00Z,Minnesota Timberwolves,130,Indiana Pacers,132,,,,Anthony Edwards: 38,Nickeil Alexander-Walker: 9,Anthony Edwards: 5,Obi Toppin: 34,Obi Toppin: 10,T.J. McConnell: 13
2025-03-18 07:58:21,401705553,Detroit Pistons at New Orleans Pelicans,2025-03-18T00:00Z,New Orleans Pelicans,81,Detroit Pistons,127,,,,Zion Williamson: 30,Yves Missi: 10,CJ McCollum: 5,Cade Cunningham: 24,Simone Fontecchio: 7,Cade Cunningham: 8
